position,jID,pID,tID,xID,role,visible,distance,distance_visible,distance_percent,high_speed,high_speed_visible,high_speed_percent,match_active,active_visible,inactive_visible,source,match
IVL,5,DFL-OBJ-00005N,DFL-CLU-00000E,12,DEF,0.31935555555555556,9365.89547701296,3385.952969567509,0.3615194060063739,539.3522407061689,130.36643771478913,0.24170927248601315,0.44808888888888887,0.2157851851851852,0.10357037037037037,TV,DFL-MAT-0002YP
IVR,15,DFL-OBJ-0000JL,DFL-CLU-00000E,16,DEF,0.31638518518518516,8625.502577693245,3051.8855886535184,0.35382119026271247,329.71661623355993,46.42729212701377,0.14080968274321448,0.44808888888888887,0.2194222222222222,0.09696296296296296,TV,DFL-MAT-0002YP
STL,9,DFL-OBJ-00023O,DFL-CLU-00000E,17,OFF,0.2866814814814815,9146.572203418673,2844.7776969333568,0.31102118188823535,683.1798920338426,159.25853831148777,0.23311362083180076,0.44808888888888887,0.1797037037037037,0.10697777777777778,TV,DFL-MAT-0002YP
DMZ,4,DFL-OBJ-0002EC,DFL-CLU-00000E,1,MID,0.45495555555555556,11356.042913296667,5885.591813956424,0.5182784055055876,404.1427979434128,178.50143847622877,0.4416791277354945,0.611237037037037,0.3686074074074074,0.08634814814814815,TV,DFL-MAT-000303
LV,2,DFL-OBJ-000251,DFL-CLU-00000E,2,DEF,0.43405925925925926,11202.002751760028,5668.964438147126,0.5060670456679216,567.1853753401922,294.2892276986562,0.5188589841939144,0.611237037037037,0.35342962962962965,0.08062962962962963,TV,DFL-MAT-000303
ZO,16,DFL-OBJ-00010I,DFL-CLU-00000E,7,OFF,0.5112962962962962,11579.068220823256,6786.015120706003,0.5860588253986059,246.53222686969985,194.90280442464373,0.7905773898179084,0.611237037037037,0.41377037037037034,0.09752592592592593,TV,DFL-MAT-000303
RV,8,DFL-OBJ-0000IW,DFL-CLU-00000E,8,DEF,0.41785925925925926,11038.869007919675,5415.939010017912,0.49062444767958796,284.97984091353345,128.81481515399238,0.45201378013638677,0.611237037037037,0.34956296296296296,0.0682962962962963,TV,DFL-MAT-000303
STR,9,DFL-OBJ-00023O,DFL-CLU-00000E,11,OFF,0.36393333333333333,10480.75274265082,4787.788001897812,0.45681718856072084,817.2955256672085,425.76011051711436,0.5209377723798748,0.611237037037037,0.28705925925925924,0.07687407407407408,TV,DFL-MAT-000303
RM,22,DFL-OBJ-00008L,DFL-CLU-00000E,12,MID,0.503,12144.921605217332,6839.957991798587,0.5631949068209886,317.4029367354955,236.2099389418898,0.7441958205280658,0.611237037037037,0.40496296296296297,0.09803703703703703,TV,DFL-MAT-000303
TW,1,DFL-OBJ-000170,DFL-CLU-00000E,13,GK,0.11848148148148148,5911.48138785111,882.5610232445393,0.14929608423673987,62.30735206422313,20.141244937841293,0.32325631359010026,0.611237037037037,0.0887037037037037,0.029777777777777778,TV,DFL-MAT-000303
