match,number,start,end,team,possession,formation_rater1,formation_rater2,formation_rater3,majority,start_seconds,end_seconds,half,predictions_gt,predictions_sf,predictions_tv
Leverkusen - Gladbach,75,26:11,26:23,Gladbach,in,442.0,424.0,442.0,442,1571,1583,firstHalf,"[('433 (4)', 0.9096166966838245), ('424', 0.8948241028805293), ('4231 (2)', 0.8901299894630831), ('433 (2)', 0.8802154697709785), ('334', 0.8670255221260772)]","[('433 (4)', 0.9096166966838245), ('424', 0.8948241028805293), ('4231 (2)', 0.8901299894630831), ('433 (2)', 0.8802154697709785), ('334', 0.8670255221260772)]","[('424', 0.9344818940372969), ('433 (4)', 0.9300815874556333), ('4231 (2)', 0.9183774346890043), ('334', 0.9145227237053872), ('433 (2)', 0.9012296753253771)]"
Leverkusen - Gladbach,78,27:39,28:14,Gladbach,in,442.0,442.0,442.0,442,1659,1694,firstHalf,"[('424', 0.8835117600022677), ('4231 (2)', 0.8763806960816206), ('433 (2)', 0.8651146029915281), ('343', 0.864180292272444), ('433 (4)', 0.8559730539493773)]","[('424', 0.8815746267932387), ('4231 (2)', 0.874479732538574), ('433 (2)', 0.8646847633166519), ('343', 0.8642951805332689), ('433 (4)', 0.8546088266613836)]","[('4231 (2)', 0.8947327808708236), ('433 (5)', 0.8930652632286151), ('433 (2)', 0.8885979357107604), ('424', 0.8810295143442997), ('343', 0.8804013918582864)]"
Leverkusen - Gladbach,93,34:04,34:36,Leverkusen,in,442.0,4231.0,4231.0,4231,2044,2076,firstHalf,"[('334', 0.8806350367906295), ('4231 (2)', 0.8680794702679078), ('424', 0.8661047012636829), ('352', 0.8509225063302783), ('442 (2)', 0.8478962328154553)]","[('334', 0.8598109882656304), ('4231 (2)', 0.8504517557188754), ('424', 0.8490000631360244), ('442 (2)', 0.8332334541819548), ('352', 0.8326271799188141)]","[('352', 0.8080254695732435), ('4231 (2)', 0.8007241809654944), ('4141', 0.7981409672559857), ('433 (2)', 0.7944375333180063), ('424', 0.7907869581007926)]"
Leverkusen - Gladbach,112,42:32,42:48,Gladbach,in,442.0,442.0,442.0,442,2552,2568,firstHalf,"[('424', 0.9270111429832204), ('4231 (2)', 0.9209216754463533), ('433 (5)', 0.9004720163623938), ('442 (2)', 0.9003597544310808), ('433 (2)', 0.8917796898589887)]","[('424', 0.9270111429832204), ('4231 (2)', 0.9209216754463533), ('433 (5)', 0.9004720163623938), ('442 (2)', 0.9003597544310808), ('433 (2)', 0.8917796898589887)]","[('424', 0.9297571396867402), ('4231 (2)', 0.9221175906776666), ('433 (2)', 0.901159932796852), ('442 (2)', 0.89578216743044), ('433 (5)', 0.8939554255258483)]"
Leverkusen - Gladbach,121,44:47,45:06,Gladbach,in,442.0,442.0,442.0,442,2687,2706,firstHalf,"[('433 (4)', 0.9610393190040593), ('433 (3)', 0.942188178562197), ('424', 0.9385079452655802), ('433 (2)', 0.9330502677974892), ('442 (2)', 0.9281062061177356)]","[('433 (4)', 0.9510888392706429), ('433 (3)', 0.9426272483801902), ('433 (2)', 0.931536613279756), ('433 (5)', 0.9249212449758387), ('433 (1)', 0.9067400223893032)]","[('442 (2)', 0.9560203555154149), ('424', 0.9400707816443495), ('4141', 0.914685093724952), ('433 (3)', 0.9098806745546119), ('4231 (2)', 0.8890089840999604)]"
Leverkusen - Gladbach,124,45:00,45:24,Leverkusen,in,4231.0,4231.0,442.0,4231,0,24,secondHalf,"[('4231 (2)', 0.9004512373725346), ('451', 0.8888492550578092), ('424', 0.8718610774656935), ('433 (2)', 0.8689473982897045), ('433 (4)', 0.8660428865336784)]","[('4231 (2)', 0.9004512373725346), ('451', 0.8888492550578092), ('424', 0.8718610774656935), ('433 (2)', 0.8689473982897045), ('433 (4)', 0.8660428865336784)]","[('352', 0.8558078965124056), ('334', 0.8490120582191785), ('4231 (2)', 0.8434702986435618), ('451', 0.8375669269508581), ('433 (4)', 0.8262039141620091)]"
Leverkusen - Gladbach,145,50:04,50:24,Leverkusen,in,4231.0,442.0,442.0,442,304,324,secondHalf,"[('442 (2)', 0.9292492987282919), ('451', 0.9129908493694182), ('4231 (2)', 0.9121767281316193), ('4231 (1)', 0.9116473497620984), ('424', 0.9107327373963678)]","[('442 (2)', 0.9292492987282919), ('451', 0.9129908493694182), ('4231 (2)', 0.9121767281316193), ('4231 (1)', 0.9116473497620984), ('424', 0.9107327373963678)]","[('442 (2)', 0.9147475056820402), ('4231 (1)', 0.914160089163856), ('4321', 0.913219738014033), ('451', 0.9117071738242359), ('4141', 0.9019677547414506)]"
Leverkusen - Gladbach,155,54:50,55:11,Gladbach,in,442.0,4141.0,442.0,442,590,611,secondHalf,"[('433 (4)', 0.8302316576323112), ('424', 0.7936875332842611), ('4231 (2)', 0.7900227003701372), ('433 (2)', 0.7836143424194205), ('4141', 0.7730253588900691)]","[('433 (4)', 0.8302316576323112), ('424', 0.7936875332842611), ('4231 (2)', 0.7900227003701372), ('433 (2)', 0.7836143424194205), ('4141', 0.7730253588900691)]","[('433 (4)', 0.8590354404224848), ('424', 0.8495838153427326), ('4231 (2)', 0.8473586388611527), ('343', 0.8407547164742257), ('433 (2)', 0.839058188785738)]"
Leverkusen - Gladbach,157,55:28,55:40,Leverkusen,in,442.0,442.0,442.0,442,628,640,secondHalf,"[('424', 0.9745940166263848), ('4231 (2)', 0.9692953327187641), ('442 (2)', 0.9686787803039818), ('451', 0.9423835210515621), ('4141', 0.9328892398107904)]","[('424', 0.9745940166263848), ('4231 (2)', 0.9692953327187641), ('442 (2)', 0.9686787803039818), ('451', 0.9423835210515621), ('4141', 0.9328892398107904)]","[('424', 0.9360436414222153), ('4231 (2)', 0.9357991128786078), ('442 (2)', 0.9246483901418119), ('451', 0.9107204301006138), ('433 (2)', 0.8996862433062813)]"
Leverkusen - Gladbach,161,57:19,57:34,Leverkusen,in,4231.0,4141.0,4231.0,4231,739,754,secondHalf,"[('433 (4)', 0.8705770164198059), ('433 (2)', 0.8596644540507179), ('4231 (2)', 0.851835386910658), ('433 (3)', 0.8506797789497353), ('4141', 0.8381244624190358)]","[('433 (4)', 0.8705770164198059), ('433 (2)', 0.8596644540507179), ('4231 (2)', 0.851835386910658), ('433 (3)', 0.8506797789497353), ('4141', 0.8381244624190358)]","[('4231 (2)', 0.839136352819306), ('433 (1)', 0.8365207442280231), ('451', 0.8355197005991877), ('433 (3)', 0.8333254393281199), ('4141', 0.8320067873873571)]"
